Portfolio Company Name,Website,Stage,Deal Date,Deal Size,DealSize (USD mn),DealSize (EUR mn),Total Known Funding (USD mn),Total Known Funding (EUR mn),Deal Status,Investors,Specific Funds,State,Location,Region,VC Industry Classification,Primary Industry,Sub-Industries,Investment Status
Zvents,www.zvents.com,Series B/Round 2,12/1/06,,,,31.2,22.73,Completed,,,California,US,North America,Internet,Internet,"Information Services, Technology",Realised
Zvents,www.zvents.com,Series C/Round 3,1/1/08,,,,31.2,22.73,Completed,,,California,US,North America,Internet,Internet,"Information Services, Technology",Realised
zweitgeist GmbH,www.weblin.com,Unspecified Round,2/1/07,0.50 EUR,0.66,0.5,0.66,0.5,Completed,High-Tech Gründerfonds,High-Tech Gründerfonds I,,Germany,West Europe,Internet,Internet,Social Networking & Communication Platform,Realised
zweitgeist GmbH,www.weblin.com,Unspecified Round,11/5/07,,,,0.66,0.5,Completed,T-Venture Holding,T-Online Venture Fund *,,Germany,West Europe,Internet,Internet,Social Networking & Communication Platform,Realised
Zwipe AS,www.zwipe.com,PIPE,12/11/13,2.50 USD,2.5,1.82,3.5,2.55,Completed,,,,Norway,Nordic,Other IT,Technology,Bioinformatics,Active
Zwipe AS,www.zwipe.com,Grant,12/11/13,1.00 USD,1,0.73,3.5,2.55,Completed,,,,Norway,Nordic,Other IT,Technology,Bioinformatics,Active
Zya,zyamusic.com,Unspecified Round,4/17/13,11.36 USD,11.36,8.68,11.36,8.68,Completed,Intel Capital,Intel Capital Experiences and Perceptual Computing Fund,Louisiana,US,North America,Internet,Internet,Music Website,Active
"Zyante, Inc.",www.zyante.com,Venture Debt,4/2/14,0.87 USD,0.87,0.63,0.87,0.63,Completed,,,California,US,North America,Software & Related,Software,"Engineering Software, Education and Training Services, Education & Training Software, Colleges and Universities",Active
ZYB ApS,www.zyb.com,Angel,6/1/05,,,,1.32,1,Completed,,,,Denmark,Nordic,Telecoms,Telecoms,,Realised
ZYB ApS,www.zyb.com,Unspecified Round,11/20/06,1.00 EUR,1.32,1,1.32,1,Completed,Nordic Venture Partners,Nordic Venture Partners II,,Denmark,Nordic,Telecoms,Telecoms,,Realised
ZYCOS,,Series C/Round 3,8/1/98,4.70 USD,4.7,4.28,40.8,41.66,Completed,"Aescap Venture, Lombard Odier Darier Hentsch, The Walden Group",,Massachusetts,US,North America,Health Care,Pharmaceuticals,Pharmaceutical Development,Realised
ZYCOS,,Unspecified Round,5/27/99,5.70 USD,5.7,5.53,40.8,41.66,Completed,,,Massachusetts,US,North America,Health Care,Pharmaceuticals,Pharmaceutical Development,Realised
ZYCOS,,PIPE,7/10/00,30.40 USD,30.4,31.85,40.8,41.66,Completed,"CDP Capital - Private Equity Group, Lombard Odier Darier Hentsch, Medical Venture Partners, New Medical Technologies, Oakwood Medical Investors, OMTI, Stephens Inc., William Blair Capital Partners",Oakwood Medical Investors III,Massachusetts,US,North America,Health Care,Pharmaceuticals,Pharmaceutical Development,Realised
"Zyga Technology, Inc.",www.zygatech.com,Unspecified Round,10/1/08,4.00 USD,4,2.84,36.5,27.3,Completed,"Domain Associates, Split Rock Partners","Domain Partners VII, Split Rock Partners",Minnesota,US,North America,Health Care,Medical Technologies,,Active
"Zyga Technology, Inc.",www.zygatech.com,Unspecified Round,10/25/09,5.75 USD,5.75,3.86,36.5,27.3,Completed,,,Minnesota,US,North America,Health Care,Medical Technologies,,Active
"Zyga Technology, Inc.",www.zygatech.com,Series B/Round 2,6/23/11,,,,36.5,27.3,Completed,"Domain Associates, MB Venture Partners, Split Rock Partners","Domain Partners VII, MB Venture Partners 2, Split Rock Partners",Minnesota,US,North America,Health Care,Medical Technologies,,Active
"Zyga Technology, Inc.",www.zygatech.com,Series C/Round 3,5/16/12,25.00 USD,25,19.36,36.5,27.3,Completed,"Domain Associates, MB Venture Partners, Split Rock Partners, Versant Ventures","Domain Partners VII, MB Venture Partners 2, Split Rock Partners, Versant Ventures IV",Minnesota,US,North America,Health Care,Medical Technologies,,Active
"Zyga Technology, Inc.",www.zygatech.com,Unspecified Round,12/31/09,1.75 USD,1.75,1.24,36.5,27.3,Completed,Split Rock Partners,Split Rock Partners,Minnesota,US,North America,Health Care,Medical Technologies,,Active
Zylog Systems Limited,www.zsl.com,Growth Capital/Expansion,3/7/07,438.00 INR,10.16,7.6,10.16,7.6,Completed,"Argonaut Ventures, Ascent Capital",,,India,South Asia,Business Services,Business Services,"Information Technology, Consulting Services, Outsourcing",Active
Zylom Media Group BV,www.zylom.com,Series B/Round 2,6/12/02,,,,,,Completed,"ABN AMRO Participaties, Stimulus Venture Capital Fund B.V",ABN AMRO Private Equity Fund,,Netherlands,West Europe,Software & Related,Gaming,Internet/Web Games,Realised
"Zyme Solutions, Inc.",www.zymesolutions.com,Series A/Round 1,9/1/05,3.04 USD,3.04,2.52,8.04,6.34,Completed,Artiman Ventures,Artiman Ventures,California,US,North America,Software & Related,Software,"Technology, Cloud Computing & Solutions",Active
"Zyme Solutions, Inc.",www.zymesolutions.com,Series B/Round 2,4/8/13,5.00 USD,5,3.82,8.04,6.34,Completed,Susquehanna Growth Equity,,California,US,North America,Software & Related,Software,"Technology, Cloud Computing & Solutions",Active
Zymeworks Inc.,www.zymeworks.com,Series C/Round 3,6/23/09,3.50 USD,3.5,2.5,27.1,20.39,Completed,CTI Life Sciences Fund,CTI Life Sciences Fund  *,British Columbia,Canada,North America,Health Care,Biotechnology,"Bioinformatics, Genetics & Gene Therapy",Active
Zymeworks Inc.,www.zymeworks.com,Unspecified Round,6/29/10,3.20 USD,3.2,2.54,27.1,20.39,Completed,CTI Life Sciences Fund,CTI Life Sciences Fund  *,British Columbia,Canada,North America,Health Care,Biotechnology,"Bioinformatics, Genetics & Gene Therapy",Active
Zymeworks Inc.,www.zymeworks.com,Unspecified Round,9/22/11,8.10 USD,8.1,5.94,27.1,20.39,Completed,"Advanced Biotechnologies Venture Fund, CTI Life Sciences Fund",CTI Life Sciences Fund  *,British Columbia,Canada,North America,Health Care,Biotechnology,"Bioinformatics, Genetics & Gene Therapy",Active
Zymeworks Inc.,www.zymeworks.com,Angel,3/3/08,1.30 USD,1.3,0.82,27.1,20.39,Completed,,,British Columbia,Canada,North America,Health Care,Biotechnology,"Bioinformatics, Genetics & Gene Therapy",Active
Zymeworks Inc.,www.zymeworks.com,Unspecified Round,9/6/12,11.00 USD,11,8.59,27.1,20.39,Completed,Advanced Biotechnologies Venture Fund,,British Columbia,Canada,North America,Health Care,Biotechnology,"Bioinformatics, Genetics & Gene Therapy",Active
"ZymoGenetics, Inc.",www.zymogenetics.com,Unspecified Round,6/30/08,100.00 USD,100,63.5,194,130.72,Completed,Deerfield Capital Management,,Washington,US,North America,Health Care,Pharmaceuticals,"Healthcare, Medical Research, Pharmacogenomics, BioPharmaceuticals",Active
"ZymoGenetics, Inc.",www.zymogenetics.com,Unspecified Round,1/7/10,79.00 USD,79,56.01,194,130.72,Completed,,,Washington,US,North America,Health Care,Pharmaceuticals,"Healthcare, Medical Research, Pharmacogenomics, BioPharmaceuticals",Active
"ZymoGenetics, Inc.",www.zymogenetics.com,Unspecified Round,11/12/08,15.00 USD,15,11.21,194,130.72,Completed,,,Washington,US,North America,Health Care,Pharmaceuticals,"Healthcare, Medical Research, Pharmacogenomics, BioPharmaceuticals",Active
Zync,,Unspecified Round,2/8/08,,,,,,Completed,"GrandBanks Capital, Kodiak Venture Partners, Venrock, WHERE, Inc.","Kodiak Ventures III, Venrock V ",Massachusetts,US,North America,Internet,Internet,,Active
Zyncro,www.zyncro.com,Series A/Round 1,4/5/11,1.20 EUR,1.73,1.2,3.84,2.8,Completed,"Aniol S.L., Cabiedes & Partners, Fides Capital, XMS",,,Spain,West Europe,Internet,Internet,"IT, Technology",Active
Zyncro,www.zyncro.com,Series B/Round 2,2/23/12,1.60 EUR,2.11,1.6,3.84,2.8,Completed,"ACTIVE Venture Partners, Aniol S.L., Cabiedes & Partners, Caixa Capital Risc, XMS",Amerigo Innvierte Spain Ventures,,Spain,West Europe,Internet,Internet,"IT, Technology",Active
"Zynga, Inc.",www.zynga.com,Series B/Round 2,7/22/08,29.00 USD,29,18.42,1024.03,774,Completed,"Avalon Ventures, Foundry Group, Institutional Venture Partners, Kleiner Perkins Caufield & Byers, Union Square Ventures","Foundry Group Venture Capital Fund I, Kleiner Perkins Caufield & Byers XIII, Union Square Ventures II",California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series C/Round 3,12/16/09,180.00 USD,180,120.11,1024.03,774,Completed,"Andreessen Horowitz, DST Global, Institutional Venture Partners, Tiger Global Management","Andreessen Horowitz Fund I, DST Global I, Institutional Venture Partners XII, Tiger Global Private Investment Partners V",California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series B/Round 2,6/15/10,300.00 USD,300,241.56,1024.03,774,Completed,"Google, Softbank Capital",SOFTBANK Capital Technology Fund 2008,California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Angel,7/1/07,,,,1024.03,774,Completed,,,California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series A/Round 1,1/15/08,10.00 USD,10,6.85,1024.03,774,Completed,"Avalon Ventures, Clarium Capital, Foundry Group, Pilot Group, Union Square Ventures","Avalon Ventures VIII, Foundry Group Venture Capital Fund I, Union Square Ventures II",California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series C/Round 3,2/1/11,485.00 USD,485,372.53,1024.03,774,Completed,"Fidelity Investments, Kleiner Perkins Caufield & Byers, Morgan Stanley, T Rowe Price",Kleiner Perkins Caufield & Byers XIII,California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series A/Round 1,2/1/08,5.03 USD,5.03,3.44,1024.03,774,Completed,"Avalon Ventures, Foundry Group, Union Square Ventures","Avalon Ventures VIII, Foundry Group Venture Capital Fund I, Union Square Ventures II",California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
"Zynga, Inc.",www.zynga.com,Series B/Round 2,4/1/10,15.00 USD,15,11.09,1024.03,774,Completed,,,California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
Zyngenia Inc.,www.zyngenia.com,Series A/Round 1,11/4/09,10.00 USD,10,6.72,25,18.41,Completed,New Enterprise Associates,New Enterprise Associates XIII,,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Active
Zyngenia Inc.,www.zyngenia.com,Series A/Round 1,9/8/10,15.00 USD,15,11.69,25,18.41,Completed,New Enterprise Associates,New Enterprise Associates XIII,,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Active
Zynstra,www.zynstra.com,Seed,3/1/12,0.23 USD,0.23,0.18,6.43,4.91,Completed,,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
Zynstra,www.zynstra.com,Angel,9/28/12,2.40 USD,2.4,1.87,6.43,4.91,Completed,,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
Zynstra,www.zynstra.com,Series A/Round 1,9/12/13,3.80 USD,3.8,2.86,6.43,4.91,Completed,Octopus Investments ,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
"Zyomyx, Inc",www.zyomyx.com,Series B/Round 2,6/30/13,12.00 USD,12,9.36,103.6,102.4,Completed,"Alloy Ventures, Bill and Melinda Gates Foundation, Mylan",,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series D/Round 4,12/4/00,32.60 USD,32.6,34.73,103.6,102.4,Completed,"Alloy Ventures, China Development Bank Capital, Credit Suisse, Invus Group, Mediphase Venture Partners, MSDW Venture Partners, Skyline Ventures, Softbank, Sumitomo Corporation, Yasuda Enterprise Development","Asset Management Associates 96, Mediphase Venture Partners I, Morgan Stanley Venture Partners IV, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series E/Round 5,8/5/02,27.00 USD,27,27.39,103.6,102.4,Completed,"Credit Suisse, GE Capital, Lilly Ventures",Lilly BioVentures,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series F/Round 6,2/12/04,10.00 USD,10,7.94,103.6,102.4,Completed,"Alloy Ventures, Biomedical Sciences Investment Fund, Credit Suisse, EDBI, GCM Customized Fund Investment Group, Hambrecht & Quist, Lilly Ventures, Mediphase Venture Partners, Tekla Capital Management","Access Technology Partners, Lilly BioVentures, Mediphase Venture Partners I, Mobile Commerce Venture Fund",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series C/Round 3,3/31/00,22.00 USD,22,22.98,103.6,102.4,Completed,"Alloy Ventures, Burrill & Company, Lombard Odier Darier Hentsch, Mediphase Venture Partners, Singapore Bio-Innovations, Skyline Ventures, Tekla Capital Management","Asset Management Associates 96, Burrill Biotechnology Capital I, Mediphase Venture Partners I, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series B/Round 2,3/31/99,,,,103.6,102.4,Completed,"Asset Management, Hambrecht & Quist, Lombard Odier Darier Hentsch, Skyline Ventures","Access Technology Partners, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series A/Round 1,1/1/98,,,,103.6,102.4,Completed,Skyline Ventures,Skyline I,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
Zyray Wireless,,Series A/Round 1,4/1/01,,,,,,Completed,,,California,US,North America,Other IT,Wireless,Semiconductors,Realised
Zyrion Corporation,www.zyrion.com,Add-on,7/10/13,,,,,,Completed,"Insight Venture Partners, Kaseya",,California,US,North America,Other IT,IT Infrastructure,Cloud Computing & Solutions,Active
"ZyStor Therapeutics, Inc.",www.zystor.com,Unspecified Round,12/15/04,8.50 USD,8.5,6.28,8.5,6.28,Completed,"Apjohn Ventures, Hexagon Investments, Mason Wells, Prolog Ventures, State of Wisconsin Investment Board, Stonehenge Growth Capital, Venture Investors","Advantage Capital Wisconsin Partners I, Apjohn Ventures Fund, Mason Wells Biomedical Fund I, Prolog Capital I",Wisconsin,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Realised
ZyTax,,Add-on,5/14/14,,,,,,Completed,"Avalara, Inc., Battery Ventures, Benaroya Venture Capital, Sageview Capital",,Texas,US,North America,Software & Related,Software,"Systems Management Software, Accounting/Finance Software",Active
Zytoprotec GmbH,www.zytoprotec.com,Series A/Round 1,1/29/13,2.00 EUR,2.68,2,2.68,2,Completed,Baxter Ventures,,,Austria,West Europe,Health Care,Biotechnology,,Active
ZZish,www.zzish.com,Seed,3/24/14,0.12 USD,0.12,0.09,0.12,0.09,Completed,TechStars,,,UK,West Europe,Telecoms,Telecoms,"Education & Training Website, Mobile Applications, Education & Training Software",Active
